Week,Total Male Tests,Male Test Positivity Rate,Total Female Tests,Female Test Positivity Rate
6/4/2022,59,33.9,11,0
6/11/2022,131,24.3,23,0
6/18/2022,157,43.6,18,0
6/25/2022,220,53.1,45,0
7/2/2022,502,58.5,94,5
7/9/2022,732,57.8,59,7.7
7/16/2022,2237,62.4,257,5.3
7/23/2022,2686,59.9,430,6
7/30/2022,3623,52.6,830,3.7
8/6/2022,4507,43.4,1582,2.6
8/13/2022,5650,35.8,2461,1.9
8/20/2022,6261,35.4,3116,2
8/27/2022,4517,33.3,2312,2.3
9/3/2022,3951,31.1,2028,3.2
9/10/2022,2910,28.2,1430,3.3
9/17/2022,2586,31.6,1223,3.6
9/24/2022,2246,31.6,1008,2.8
10/1/2022,1716,29.2,764,4.6
10/8/2022,1393,29.7,564,3.1
10/15/2022,1359,31.2,523,5.7
10/22/2022,980,31.3,445,5.9
10/29/2022,855,24.9,337,7
11/5/2022,761,23.2,393,2.4
11/12/2022,637,20.8,294,7.8
11/19/2022,527,17.5,217,1.6
11/26/2022,351,27.7,146,7
