Week,Total Male Tests,Male Test Positivity Rate,Total Female Tests,Female Test Positivity Rate
6/4/2022,59,33.9,11,0
6/11/2022,131,24.3,23,0
6/18/2022,157,43.6,18,0
6/25/2022,220,53.1,45,0
7/2/2022,502,58.5,94,5
7/9/2022,732,57.8,59,7.7
7/16/2022,2237,62.4,257,5.3
7/23/2022,2686,59.9,430,6
7/30/2022,3623,52.6,830,3.7
8/6/2022,4507,43.4,1581,2.6
8/13/2022,5650,35.8,2461,1.9
8/20/2022,6261,35.4,3116,2
8/27/2022,4517,33.3,2311,2.3
9/3/2022,3951,31.1,2028,3.2
9/10/2022,2890,28,1423,3.3
9/17/2022,2553,31.5,1219,3.6
9/24/2022,2228,31.9,1001,2.9
10/1/2022,1702,29.1,756,4.6
10/8/2022,1381,29.6,559,3.1
10/15/2022,1284,32.2,470,5
10/22/2022,389,39.3,156,9
