MMWR Week,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Multiple Races,Native Hawaiian or Other Pacific Islander,Other Race,White
08-May-22,0,0,50,0,0,0,0,50
15-May-22,0,0,8.333,33.333,0,0,0,58.333
22-May-22,0,14.286,7.143,35.714,0,0,7.143,35.714
29-May-22,0,8.333,8.333,27.778,0,0,0,55.556
05-June-22,0,4.054,12.162,31.081,0,1.351,2.703,48.649
12-June-22,0,4.895,14.685,27.972,0.699,0,3.497,48.252
19-June-22,0.426,5.957,11.489,29.787,0,0.426,0.426,51.489
26-June-22,0,3.945,18.696,35.163,0.172,0,3.602,38.422
03-July-22,0.103,3.799,21.253,33.984,0.411,0.411,3.08,36.961
10-July-22,0.43,4.115,26.29,30.897,0.491,0.123,2.58,35.074
17-July-22,0.355,3.144,30.274,28.955,0.456,0.203,2.941,33.671
24-July-22,0.122,2.896,29.853,32.259,0.53,0.082,2.651,31.607
31-July-22,0.591,3.212,32.484,31.857,0.517,0.295,2.805,28.239
07-August-22,0.717,2.628,33.891,31.82,0.398,0.199,2.151,28.196
14-August-22,0.49,3.072,34.016,32.947,0.712,0.579,2.671,25.512
21-August-22,0.392,2.803,35.538,30.717,0.673,0.168,2.578,27.13
28-August-22,0.509,2.354,34.415,31.107,1.018,0.445,2.163,27.99
04-September-22,0.908,1.817,37.655,31.296,0.661,0.413,2.56,24.69
11-September-22,0.815,2.141,37.513,28.033,1.019,0.51,2.752,27.217
18-September-22,0.51,2.041,36.99,28.316,1.658,0.383,2.934,27.168
25-September-22,0.666,2.662,36.938,29.451,0.832,0.166,2.829,26.456
02-October-22,0.482,3.614,37.59,26.747,0.723,0.241,2.169,28.434
09-October-22,1.014,0.676,43.581,25,0.676,0.338,1.689,27.027
16-October-22,0.532,0.532,44.149,18.085,1.064,0,2.128,33.511
