Reporting Jurisdictions,Total,Category
Northern Marianas,4,1 - 500
Guam,16,1 - 500
Virgin Islands,172,1 - 500
Wyoming,354,1 - 500
South Dakota,368,1 - 500
Montana,574,"501 - 1,000"
West Virginia,582,"501 - 1,000"
North Dakota,719,"501 - 1,000"
New Hampshire,888,"501 - 1,000"
Vermont,956,"501 - 1,000"
Alaska,1105,"1,001 - 5,000"
Mississippi,1454,"1,001 - 5,000"
Arkansas,1572,"1,001 - 5,000"
Idaho,1602,"1,001 - 5,000"
Kansas,1889,"1,001 - 5,000"
Nebraska,2357,"1,001 - 5,000"
Maine,2620,"1,001 - 5,000"
Delaware,2956,"1,001 - 5,000"
Oklahoma,3284,"1,001 - 5,000"
Iowa,3344,"1,001 - 5,000"
Alabama,3679,"1,001 - 5,000"
South Carolina,4010,"1,001 - 5,000"
New Mexico,4581,"1,001 - 5,000"
Hawaii,4837,"1,001 - 5,000"
Utah,5361,"5,001 - 10,000"
Puerto Rico,5668,"5,001 - 10,000"
Rhode Island,5725,"5,001 - 10,000"
Kentucky,6146,"5,001 - 10,000"
Missouri,6902,"5,001 - 10,000"
Wisconsin,7576,"5,001 - 10,000"
Tennessee,7993,"5,001 - 10,000"
Indiana,8408,"5,001 - 10,000"
Connecticut,8950,"5,001 - 10,000"
Maryland,10214,"10,001 - 50,000"
Nevada,11633,"10,001 - 50,000"
Philadelphia,11918,"10,001 - 50,000"
Minnesota,12361,"10,001 - 50,000"
Michigan,12626,"10,001 - 50,000"
Pennsylvania,14570,"10,001 - 50,000"
Louisiana,14728,"10,001 - 50,000"
Oregon,17535,"10,001 - 50,000"
Arizona,17654,"10,001 - 50,000"
Ohio,18195,"10,001 - 50,000"
Virginia,19434,"10,001 - 50,000"
New Jersey,19458,"10,001 - 50,000"
Colorado,23585,"10,001 - 50,000"
North Carolina,24238,"10,001 - 50,000"
New York,26985,"10,001 - 50,000"
Washington,29218,"10,001 - 50,000"
Massachusetts,33130,"10,001 - 50,000"
District of Columbia,38785,"10,001 - 50,000"
Texas,44115,"10,001 - 50,000"
Georgia,46027,"10,001 - 50,000"
Illinois,63409,"> 50,000"
Florida,89717,"> 50,000"
New York City,147876,"> 50,000"
California,277230,"> 50,000"
Tribal entities,,Not Reported
