Reporting Jurisdictions,Total,Category
Northern Marianas,2,1 - 500
Guam,8,1 - 500
Virgin Islands,129,1 - 500
Wyoming,321,1 - 500
South Dakota,325,1 - 500
Montana,456,1 - 500
West Virginia,478,1 - 500
North Dakota,652,"501 - 1,000"
New Hampshire,677,"501 - 1,000"
Vermont,754,"501 - 1,000"
Alaska,930,"501 - 1,000"
Mississippi,1245,"1,001 - 5,000"
Arkansas,1384,"1,001 - 5,000"
Idaho,1413,"1,001 - 5,000"
Kansas,1431,"1,001 - 5,000"
Nebraska,1890,"1,001 - 5,000"
Alabama,2086,"1,001 - 5,000"
Maine,2288,"1,001 - 5,000"
Delaware,2463,"1,001 - 5,000"
Oklahoma,2930,"1,001 - 5,000"
Iowa,3037,"1,001 - 5,000"
South Carolina,3361,"1,001 - 5,000"
New Mexico,3845,"1,001 - 5,000"
Hawaii,4489,"1,001 - 5,000"
Puerto Rico,4701,"1,001 - 5,000"
Rhode Island,5154,"5,001 - 10,000"
Utah,5361,"5,001 - 10,000"
Kentucky,5506,"5,001 - 10,000"
Missouri,5711,"5,001 - 10,000"
Wisconsin,7030,"5,001 - 10,000"
Tennessee,7044,"5,001 - 10,000"
Indiana,7776,"5,001 - 10,000"
Connecticut,7862,"5,001 - 10,000"
Maryland,8382,"5,001 - 10,000"
Philadelphia,9428,"5,001 - 10,000"
Minnesota,10101,"10,001 - 50,000"
Nevada,10527,"10,001 - 50,000"
Michigan,10893,"10,001 - 50,000"
Pennsylvania,12489,"10,001 - 50,000"
Arizona,13200,"10,001 - 50,000"
Louisiana,13934,"10,001 - 50,000"
Oregon,15100,"10,001 - 50,000"
Ohio,15404,"10,001 - 50,000"
Virginia,17695,"10,001 - 50,000"
New Jersey,17933,"10,001 - 50,000"
Colorado,21339,"10,001 - 50,000"
North Carolina,22210,"10,001 - 50,000"
New York,24943,"10,001 - 50,000"
Washington,24951,"10,001 - 50,000"
Massachusetts,30658,"10,001 - 50,000"
Texas,37079,"10,001 - 50,000"
District of Columbia,37495,"10,001 - 50,000"
Georgia,43120,"10,001 - 50,000"
Illinois,57623,"> 50,000"
Florida,84205,"> 50,000"
New York City,140899,"> 50,000"
California,239936,"> 50,000"
Tribal entities,,Not Reported
